"Fish","id","Sex","SL","BD","Spine_1","Spine_1_w_0","Spine_2","Spine_3","Anal_Spine"
"4-1",1,"M",33.34,8.54,2,2,2.66666666666667,0.666666666666667,0.75
"4-2",2,"M",36.56,8.74,NA,0,2.06666666666667,0.8,0.85
"4-3",3,"M",27.32,7.14,2.53333333333333,2.53333333333333,3,0.6,NA
"4-4",4,"M",36.54,9.46,NA,0,3.6,0.666666666666667,0.85
"4-5",5,"M",38.94,9.6,2.93333333333333,2.93333333333333,3.6,0.933333333333333,NA
"4-6",6,"M",28.74,7.8,2,2,2.53333333333333,0.666666666666667,0.625
"4-7",7,"F",46.6,11.5,4.6,4.6,5,1.53333333333333,1.075
"4-8",8,"F",39.68,8.74,3,3,3.86666666666667,1.13333333333333,1.125
"4-9",9,"M",31.52,7.58,2.13333333333333,2.13333333333333,2.66666666666667,0.733333333333333,0.75
"4-10",10,"M",40.04,10.5,2.93333333333333,2.93333333333333,3.4,1,0.825
"4-11",11,"F",39.38,10.04,2.93333333333333,2.93333333333333,3.66666666666667,1.13333333333333,0.95
"4-12",12,"M",44.78,11.54,3.4,3.4,4,1,NA
"4-13",13,"F",43.3,11.1,4.6,4.6,5.33333333333333,1.86666666666667,1.7
"4-14",14,"M",40.16,10.46,3.2,3.2,3.8,0.933333333333333,0.85
"4-15",15,"F",36.26,8.94,2.93333333333333,2.93333333333333,3.46666666666667,1.46666666666667,1.15
"4-16",16,"F",46.42,11.6,3.73333333333333,3.73333333333333,4.53333333333333,1.6,1.425
"4-17",17,"M",43.9,11.02,NA,0,2.13333333333333,0.933333333333333,0.8
"4-18",18,"F",39.62,9.7,2.8,2.8,3.66666666666667,1.06666666666667,1.2
"4-19",19,"F",31.92,7.88,2.66666666666667,2.66666666666667,3.4,0.933333333333333,1.025
"4-20",20,"F",37.76,8.84,2.46666666666667,2.46666666666667,3.26666666666667,0.8,0.925
"4-21",21,"M",41.96,10.84,3.26666666666667,3.26666666666667,4,1.06666666666667,1.1
"4-22",22,"F",37.34,9.2,3.33333333333333,3.33333333333333,4.06666666666667,1.2,1.225
"4-23",23,"M",35.72,9.38,2.06666666666667,2.06666666666667,3.46666666666667,0.733333333333333,1.125
"4-24",24,"F",43.34,10.7,3.33333333333333,3.33333333333333,4.2,1,1.325
"4-25",25,"F",36.74,9.6,3,3,3.4,1.06666666666667,1.175
"4-26",26,"F",44.46,10.66,3,3,4.13333333333333,1.06666666666667,1.125
"4-27",27,"F",38.96,9.22,3.46666666666667,3.46666666666667,4.13333333333333,1.2,1.325
"4-28",28,"F",40.4,9.56,2.46666666666667,2.46666666666667,3.33333333333333,0.933333333333333,1.15
"4-29",29,"F",37.4,9.1,3.06666666666667,3.06666666666667,3.46666666666667,0.866666666666667,1.15
"4-30",30,"F",38.98,10.22,3.06666666666667,3.06666666666667,4.13333333333333,1.06666666666667,1.175
"4-31",31,"M",38.48,9.6,2.53333333333333,2.53333333333333,3.2,0.866666666666667,0.7
"4-32",32,"F",41.62,11.32,3.4,3.4,4.4,1.13333333333333,1.25
"4-33",33,"F",51.34,13.52,5.2,5.2,5.93333333333333,1.86666666666667,2.05
"4-34",34,"F",39.64,9.56,2.66666666666667,2.66666666666667,3.86666666666667,0.933333333333333,1.15
"4-35",35,"F",46.92,11.82,3.46666666666667,3.46666666666667,4.13333333333333,1.2,1.475
"4-36",36,"F",44.8,12,3.2,3.2,3.73333333333333,1.06666666666667,1.375
"4-37",37,"F",43.74,12.18,2.46666666666667,2.46666666666667,3.6,1.06666666666667,0.975
"4-38",38,"M",42.96,10.54,3.26666666666667,3.26666666666667,3.8,1.13333333333333,1.275
"4-39",39,"M",33.14,8.08,2.8,2.8,3.26666666666667,0.8,0.825
"4-40",40,"M",34.12,7.92,2.46666666666667,2.46666666666667,3.2,0.8,0.925
"4-41",41,"F",36.4,9.2,3.26666666666667,3.26666666666667,4,0.933333333333333,1.3
"4-42",42,"M",39,9.34,3.2,3.2,3.86666666666667,0.866666666666667,0.975
"4-43",43,"M",42.38,10.72,3.13333333333333,3.13333333333333,4,0.933333333333333,0.8
"4-44",44,"M",42.32,10.32,4,4,NA,1.06666666666667,1.125
"4-45",45,"F",39.86,9.4,3.6,3.6,4.46666666666667,1.33333333333333,1.225
"4-46",46,"M",35.38,8.64,2.93333333333333,2.93333333333333,3.66666666666667,0.933333333333333,0.95
"4-47",47,"M",42.18,11.08,2.33333333333333,2.33333333333333,3.66666666666667,0.866666666666667,0.8
"4-48",48,"M",37.54,9.7,3.13333333333333,3.13333333333333,3.8,1,1.025
"4-49",49,"M",41.26,10.2,3.33333333333333,3.33333333333333,4.06666666666667,1,NA
"4-50",50,"F",44.08,10.56,3.4,3.4,4.2,1.2,1.4
"4-51",51,"F",39,9.78,2.86666666666667,2.86666666666667,3.46666666666667,1,1.225
"4-52",52,"M",44.62,11.72,4.6,4.6,5.33333333333333,1.2,1.3
"4-53",53,"F",40.78,9.6,2.86666666666667,2.86666666666667,3.53333333333333,1,1.2
"4-54",54,"M",39.72,9.82,2.93333333333333,2.93333333333333,3.53333333333333,0.933333333333333,0.875
"4-55",55,"F",44.72,11.08,4,4,4.6,1.4,1.775
"4-56",56,"M",33.84,8.5,3.2,3.2,3.8,1,0.975
"4-57",57,"M",41.86,10.3,3.33333333333333,3.33333333333333,3.8,0.866666666666667,0.85
"4-58",58,"M",35.12,8.9,NA,0,3.46666666666667,0.666666666666667,0.7
"4-59",59,"F",41.96,10.46,4.2,4.2,4.73333333333333,1.6,1.3
"4-60",60,"F",33.58,8.16,2.06666666666667,2.06666666666667,3,0.933333333333333,1.15
"4-61",61,"F",35.06,8.26,2.53333333333333,2.53333333333333,3.13333333333333,0.866666666666667,0.85
"4-62",62,"M",32.22,8.14,2.26666666666667,2.26666666666667,2.73333333333333,0.733333333333333,0.675
"4-63",63,NA,35.54,8.9,NA,0,2.93333333333333,0.8,0.9
"4-64",64,"F",33.16,7.96,3,3,3.73333333333333,1,1.075
"4-65",65,"M",38.44,9.46,2.8,2.8,3.46666666666667,0.8,1.025
"4-66",66,"F",39.72,10.42,3.2,3.2,3.93333333333333,1.06666666666667,1.125
"4-67",67,"M",41.84,11.02,2.73333333333333,2.73333333333333,3.66666666666667,0.866666666666667,0.725
"4-68",68,"M",39.18,9.54,2.6,2.6,3,0.733333333333333,0.75
"4-69",69,"M",31.86,8.06,2.66666666666667,2.66666666666667,3.13333333333333,0.866666666666667,1.025
"4-70",70,"M",37.42,10.18,2.93333333333333,2.93333333333333,3.53333333333333,0.8,1.075
"4-71",71,"M",41.94,10.7,2.8,2.8,3.53333333333333,0.933333333333333,0.8
"4-72",72,"M",33.62,8.08,3.06666666666667,3.06666666666667,3.46666666666667,0.8,0.825
"4-73",73,"F",48.16,12.54,3.73333333333333,3.73333333333333,4.93333333333333,1.33333333333333,1.45
"4-74",74,"M",40.72,9.92,2.93333333333333,2.93333333333333,3.73333333333333,NA,0.975
"4-75",75,"M",31.28,8.08,2.06666666666667,2.06666666666667,2.4,0.666666666666667,0.775
"4-76",76,"M",38.4,9.56,3.4,3.4,4.13333333333333,0.8,0.8
"4-77",77,"F",39.04,10.08,3.06666666666667,3.06666666666667,3.93333333333333,1.13333333333333,1.2
"4-78",78,"M",30.92,7.7,NA,0,2.93333333333333,0.666666666666667,0.7
"4-79",79,"M",32.02,8.92,2.4,2.4,2.93333333333333,0.6,0.6
"4-80",80,"M",39.12,9.78,2.33333333333333,2.33333333333333,3.6,0.8,0.75
"4-81",81,"M",37.62,9.44,3.26666666666667,3.26666666666667,4.13333333333333,0.866666666666667,1
"4-82",82,"M",43.62,11.8,3.53333333333333,3.53333333333333,3.93333333333333,1,0.975
"4-83",83,"F",37.8,10,2.93333333333333,2.93333333333333,3.66666666666667,1.06666666666667,1.15
"4-84",84,"M",45.04,11.78,1.53333333333333,1.53333333333333,3.86666666666667,0.866666666666667,1.2
"4-85",85,"F",37.62,9.38,2.66666666666667,2.66666666666667,3.4,1.06666666666667,1.075
"4-86",86,"M",44.52,11.48,3.06666666666667,3.06666666666667,4.33333333333333,1.13333333333333,1.05
"4-87",87,"F",41.4,10.76,3.26666666666667,3.26666666666667,4,1.2,1.275
"4-88",88,"F",46.78,11.6,4.33333333333333,4.33333333333333,4.93333333333333,1.46666666666667,1.575
"4-89",89,"M",42.2,10.34,3.46666666666667,3.46666666666667,4.2,1.26666666666667,1.175
"4-90",90,"M",46.8,11.46,2.6,2.6,3.93333333333333,0.866666666666667,0.725
"4-91",91,"F",45.01,11.18,3.93333333333333,3.93333333333333,4.6,1,1.1
"4-92",92,"F",39.76,9.36,3.6,3.6,4.46666666666667,1.13333333333333,1.125
"4-93",93,"F",45.02,11.2,3.8,3.8,4.33333333333333,1.2,1.3
"4-94",94,"F",27.86,6.38,2.2,2.2,2.93333333333333,0.6,0.725
"4-95",95,"M",34.36,7.64,2.8,2.8,3.4,0.8,0.775
"4-96",96,"M",39.34,9.94,3.26666666666667,3.26666666666667,3.93333333333333,1.06666666666667,0.85
"4-97",97,"M",37.96,9.62,2.4,2.4,3.26666666666667,0.866666666666667,NA
"4-98",98,"M",30.9,7.78,2.33333333333333,2.33333333333333,2.86666666666667,0.666666666666667,0.55
"4-99",99,"M",30.2,7.7,2.93333333333333,2.93333333333333,3.33333333333333,0.733333333333333,1
"4-100",100,"M",52.4,14.18,3.93333333333333,3.93333333333333,4.93333333333333,1.2,1.25
"4-101",101,"M",43.44,10.5,NA,0,4.4,1.2,NA
"4-102",102,"M",26.84,6.38,2,2,2.4,0.466666666666667,0.55
"4-103",103,"M",44.8,10.6,3.46666666666667,3.46666666666667,4.6,1.06666666666667,0.8
"4-104",104,"F",44.56,10.28,4,4,4.8,1.46666666666667,1.425
"4-105",105,"F",49.88,11.22,4.4,4.4,5.26666666666667,1.6,1.725
"4-106",106,"F",53.28,12.46,3.66666666666667,3.66666666666667,4.86666666666667,1.66666666666667,1.75
"4-107",107,"F",48.04,11.52,3.93333333333333,3.93333333333333,4.53333333333333,1.33333333333333,1.275
"4-108",108,"F",46.64,11.32,3.4,3.4,4.46666666666667,1.4,1.475
"4-109",109,"F",40.82,10.54,3.8,3.8,4.4,1.53333333333333,1.475
"4-110",110,"M",37.38,9.74,3.2,3.2,3.8,0.866666666666667,0.925
"4-111",111,"F",43.66,10.4,4.2,4.2,4.93333333333333,NA,1.325
"4-112",112,"M",38.9,9.96,2.86666666666667,2.86666666666667,3.93333333333333,0.933333333333333,1.025
"4-113",113,"M",44.9,10.8,NA,0,4.13333333333333,1.06666666666667,1.175
"4-114",114,"F",47.42,12.3,5.06666666666667,5.06666666666667,5.93333333333333,2.13333333333333,1.95
"4-115",115,"F",42.28,10.86,3.26666666666667,3.26666666666667,4.06666666666667,1.2,1.025
"4-116",116,"F",37.86,9.8,3.26666666666667,3.26666666666667,3.73333333333333,1.2,1.125
"4-117",117,"F",35.62,8.88,2.53333333333333,2.53333333333333,3.2,0.866666666666667,0.95
"4-118",118,"F",45.8,11.6,3.33333333333333,3.33333333333333,3.8,1.33333333333333,1.4
"4-119",119,"M",41.8,10.5,3,3,3.8,0.866666666666667,0.875
"4-120",120,"F",46.28,12.08,4.06666666666667,4.06666666666667,5.13333333333333,1.46666666666667,1.6
"4-121",121,"F",45.36,11.1,3.26666666666667,3.26666666666667,4.73333333333333,1.53333333333333,1.525
"4-122",122,"M",42.42,10.98,3,3,4,1.06666666666667,1.05
"4-123",123,"M",31.66,7.7,2.4,2.4,2.8,0.666666666666667,0.725
"4-124",124,"F",39.14,9.94,2.66666666666667,2.66666666666667,3.6,1.13333333333333,1.125
"4-125",125,"F",37.9,10.42,2.46666666666667,2.46666666666667,3.93333333333333,1.06666666666667,1.2
"4-126",126,"F",39.72,9.42,3.93333333333333,3.93333333333333,4.66666666666667,1.26666666666667,1.275
"4-127",127,"M",38.76,9.92,3.46666666666667,3.46666666666667,4.13333333333333,1.06666666666667,1.125
"4-128",128,"M",39.64,10.7,3.06666666666667,3.06666666666667,3.6,0.933333333333333,0.925
"4-129",129,"F",39.68,10.36,2.2,2.2,3.6,1,1.15
"4-130",130,"F",42.72,10.32,3.06666666666667,3.06666666666667,4.73333333333333,1.26666666666667,1.2
"4-131",131,"F",37.24,8.78,2.86666666666667,2.86666666666667,3.33333333333333,0.8,0.8
"4-132",132,"M",34.76,8.82,2.93333333333333,2.93333333333333,3.46666666666667,0.666666666666667,NA
"4-133",133,"M",36.42,9.34,2.8,2.8,3.4,0.933333333333333,0.825
"4-134",134,"F",39.1,8.84,2.73333333333333,2.73333333333333,3.73333333333333,0.866666666666667,1
"4-135",135,"M",32.42,8.12,2,2,2.73333333333333,0.6,0.7
"4-136",136,"F",42.16,10.2,2.93333333333333,2.93333333333333,3.73333333333333,1.13333333333333,1.175
"4-137",137,"M",34.96,9.5,2.33333333333333,2.33333333333333,2.8,0.8,0.925
"4-138",138,"F",46.56,11.48,4.26666666666667,4.26666666666667,5.4,1.86666666666667,1.775
"4-139",139,"M",41.56,10.7,2.93333333333333,2.93333333333333,4.13333333333333,1.26666666666667,1.025
"4-140",140,"M",41.88,10.5,3.26666666666667,3.26666666666667,4.13333333333333,1.2,1.15
"4-141",141,"M",35.88,8.7,2.86666666666667,2.86666666666667,3.46666666666667,1,0.9
"4-142",142,"M",43.56,10.56,4.53333333333333,4.53333333333333,4.93333333333333,1.33333333333333,1.475
"4-143",143,"F",37.18,8.56,2.86666666666667,2.86666666666667,3.46666666666667,1.06666666666667,NA
"4-144",144,"M",35.68,8.9,2.6,2.6,NA,1,1.15
"4-145",145,"M",42.4,10,4,4,4.86666666666667,1,NA
"4-146",146,"F",34.6,8.42,2.13333333333333,2.13333333333333,2.86666666666667,0.866666666666667,0.9
"4-147",147,"M",32.44,7.96,2.46666666666667,2.46666666666667,2.93333333333333,0.866666666666667,0.6
"4-148",148,"F",27.22,6.8,1.33333333333333,1.33333333333333,2.26666666666667,0.533333333333333,NA
"4-149",149,"F",45,10.88,3.53333333333333,3.53333333333333,4.33333333333333,1.46666666666667,1.5
"4-150",150,"F",34.24,9.16,2.66666666666667,2.66666666666667,3.53333333333333,0.933333333333333,0.975
"4-151",151,"F",33.1,8.64,2.8,2.8,3.26666666666667,0.8,0.975
"4-152",152,"F",43.18,10.92,3,3,4.2,1,NA
"4-153",153,"M",44.6,11.72,3.26666666666667,3.26666666666667,4.2,1.06666666666667,1.15
"4-154",154,"M",38.96,10.3,2.86666666666667,2.86666666666667,3.46666666666667,0.666666666666667,0.8
"4-155",155,"M",32.72,7.86,2.8,2.8,3.46666666666667,0.8,0.45
"4-156",156,"M",43.38,11.06,3.33333333333333,3.33333333333333,NA,NA,0.825
"4-157",157,"F",44.96,11.58,3.73333333333333,3.73333333333333,4.66666666666667,1,1.25
"4-158",158,"M",41.1,11,2.4,2.4,2.8,0.6,NA
"4-159",159,"F",50.5,12.1,4.06666666666667,4.06666666666667,4.8,1.6,1.4
"4-160",160,"M",43.8,11.1,4.13333333333333,4.13333333333333,4.73333333333333,1.2,1.15
"4-161",161,"M",27.88,7.06,3.86666666666667,3.86666666666667,4.6,1.06666666666667,1.125
"4-162",162,"M",38.6,9.7,2.93333333333333,2.93333333333333,3.73333333333333,1,1.075
"4-163",163,"F",36.88,9.54,3.26666666666667,3.26666666666667,3.93333333333333,1.26666666666667,1.25
"4-164",164,"M",42.74,10.76,NA,0,4.13333333333333,1.06666666666667,0.9
"4-165",165,"F",47.1,11.48,3.73333333333333,3.73333333333333,4.73333333333333,1.26666666666667,1.3
"4-166",166,"F",38.06,9.94,3.4,3.4,4.06666666666667,1.26666666666667,1.375
"4-167",167,"F",42.98,10.16,3.4,3.4,3.8,1.13333333333333,NA
"4-168",168,"M",44.82,11.54,NA,0,3.86666666666667,0.933333333333333,1.125
"4-169",169,"F",41.66,11,3.93333333333333,3.93333333333333,4.6,1.73333333333333,1.525
"4-170",170,"M",37.58,10.02,2.66666666666667,2.66666666666667,3.53333333333333,0.866666666666667,0.8
"4-171",171,"M",40,10.6,3,3,3.66666666666667,0.8,0.85
"4-172",172,"M",41.88,10.24,3.66666666666667,3.66666666666667,4.33333333333333,1.13333333333333,0.875
"4-173",173,"M",41.8,10.76,3.93333333333333,3.93333333333333,4.66666666666667,1.06666666666667,1.15
"4-174",174,"F",39.62,9.58,3.26666666666667,3.26666666666667,3.86666666666667,1,1.3
"4-175",175,"M",37.2,9.96,3.2,3.2,3.6,0.933333333333333,1.05
"4-176",176,"F",43.7,10.6,2.93333333333333,2.93333333333333,3.86666666666667,1.13333333333333,1.2
"4-177",177,"M",33.1,8.22,2.53333333333333,2.53333333333333,3,0.733333333333333,0.825
"4-178",178,"M",40.24,10.72,4.13333333333333,4.13333333333333,4.86666666666667,1.53333333333333,1.65
"4-179",179,"F",34,7.96,2.26666666666667,2.26666666666667,3,0.866666666666667,0.875
"4-180",180,"M",45.8,13.32,3.4,3.4,4.73333333333333,1.26666666666667,1.25
"4-181",181,"F",45.66,11.12,4.33333333333333,4.33333333333333,5.2,1.73333333333333,1.5
"4-182",182,"F",32.9,7.82,2.4,2.4,3.13333333333333,0.666666666666667,0.925
"4-183",183,"M",32.46,8.84,2.86666666666667,2.86666666666667,3.4,0.8,0.95
"4-184",184,"F",36.06,9,2.4,2.4,2.93333333333333,0.666666666666667,NA
"4-185",185,"F",44.68,11.18,3.33333333333333,3.33333333333333,4.2,1.06666666666667,1.15
"4-186",186,"M",40.38,10.54,3.93333333333333,3.93333333333333,4.73333333333333,1.2,1.425
"4-187",187,"F",51.2,13.64,4.06666666666667,4.06666666666667,5.06666666666667,1.33333333333333,NA
"4-188",188,"F",41.8,10.7,3.6,3.6,4.4,1.26666666666667,1.3
"4-189",189,"F",51.48,13.1,3.73333333333333,3.73333333333333,4.8,1.33333333333333,1.475
